,index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,district,neighborhood,newDevelopmentFinished
350,0,88650096,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f2/0f/7e/751871155.jpg,1316/2171 B,17,,170000.0,chalet,sale,207.0,False,4,3,Calle Valle Inclan,Guadalajara,El Casar,es,40.6790154,-3.4119898,False,https://www.idealista.com/inmueble/88650096/,38160,False,renew,False,,,821.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'El Casar', 'title': 'Casa independiente en Calle Valle Inclan'}",False,False,False,,,
351,1,85328849,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0b/12/53/696802532.jpg,219-ALI0000115779,15,,53000.0,flat,sale,57.0,False,1,1,Calle Ugena,Toledo,Yuncos,es,40.086152,-3.8748651,False,https://www.idealista.com/inmueble/85328849/,39533,False,good,False,False,,930.0,{'typology': 'flat'},"{'subtitle': 'Yuncos', 'title': 'Piso en Calle Ugena'}",False,False,False,,,
352,2,88155279,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/4a/c9/740059757.jpg,SV-60488589,17,bj,161500.0,flat,sale,92.0,False,2,2,Calle de Urgel,Madrid,Madrid,es,40.3950944,-3.7244209,False,https://www.idealista.com/inmueble/88155279/,2997,False,renew,False,False,,1755.0,{'typology': 'flat'},"{'subtitle': 'San Isidro, Madrid', 'title': 'Piso en Calle de Urgel'}",False,False,False,Carabanchel,San Isidro,
353,3,86260374,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/ac/a2/697293074.jpg,343-60490096,2,,30600.0,flat,sale,40.0,False,1,1,Calle Horno,Guadalajara,Pioz,es,40.462134,-3.176142,False,https://www.idealista.com/inmueble/86260374/,44891,False,good,False,False,,765.0,{'typology': 'flat'},"{'subtitle': 'Pioz', 'title': 'Piso en Calle Horno'}",True,False,False,,,
354,4,83086142,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/61/f9/67/647686141.jpg,203-6966782,3,bj,42183.0,flat,sale,106.0,False,2,1,Calle Azucena,Toledo,Recas,es,40.0507595,-3.9901757,False,https://www.idealista.com/inmueble/83086142/,47421,False,good,False,True,,398.0,{'typology': 'flat'},"{'subtitle': 'Recas', 'title': 'Piso en Calle Azucena'}",False,False,False,,,
355,5,83085963,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c2/f5/da/647680169.jpg,203-6890834,3,bj,44839.0,flat,sale,75.0,False,3,1,Calle la Alcarria,Guadalajara,Pozo de Guadalajara,es,40.4954516,-3.1788545,False,https://www.idealista.com/inmueble/83085963/,45222,False,good,False,False,,598.0,{'typology': 'flat'},"{'subtitle': 'Pozo de Guadalajara', 'title': 'Piso en Calle la Alcarria'}",False,False,False,,,
356,6,85092419,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/98/63/7b/755607257.jpg,MR-5000-060517696,15,,110000.0,chalet,sale,196.0,False,3,3,Calle Mondéjar,Guadalajara,Torrejon del Rey,es,40.6921222,-3.3725915,False,https://www.idealista.com/inmueble/85092419/,41450,False,,False,,,561.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Torrejon del Rey', 'title': 'Casa independiente en Calle Mondéjar'}",False,False,False,,,
357,7,87085281,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e0/94/40/710939527.jpg,10060481366,1,,150683.0,chalet,sale,249.0,False,3,2,"Calle Beato Guillermo Plaza Hernandez, 2",Toledo,Yuncos,es,40.0884453,-3.8680986,True,https://www.idealista.com/inmueble/87085281/,39087,False,renew,False,,,605.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Yuncos', 'title': 'Casa independiente en Calle Beato Guillermo Plaza Hernandez, 2'}",False,False,False,,,
358,8,83662235,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/e7/52/671263714.jpg,ALI0000115779,15,,53000.0,flat,sale,57.0,False,1,1,Yuncos,Toledo,Yuncos,es,40.0893431,-3.8767613,False,https://www.idealista.com/inmueble/83662235/,39263,False,,False,,,930.0,{'typology': 'flat'},"{'subtitle': 'Yuncos', 'title': 'Piso'}",False,False,False,,,
359,9,87237795,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e7/db/4d/716852047.jpg,CAN0000166757,18,,2294000.0,chalet,sale,1245.0,False,7,6,barrio El Plantío,Madrid,Madrid,es,40.4711935,-3.8130126,False,https://www.idealista.com/inmueble/87237795/,11089,False,,False,,,1843.0,{'typology': 'chalet'},"{'subtitle': 'El Plantío, Madrid', 'title': 'Chalet'}",False,False,False,Moncloa,El Plantío,
