,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),
55,Revista Iberoamericana de Micologia,journal,0.417 ,40,42,158,1298,165,133,1.40,30.90,
56,Revista Espanola de Documentacion Cientifica,journal,0.415 ,15,29,100,1179,81,100,0.88,40.66,
57,Actas Espanolas de Psiquiatria,journal,0.412 ,27,36,149,1058,122,103,1.14,29.39,
58,Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte,journal,0.400 ,12,36,143,1495,132,143,0.69,41.53,
59,Archivos de Bronconeumologia,journal,0.396 ,46,335,831,4305,754,656,0.98,12.85,
60,Spanish Journal of Marketing - ESIC,journal,0.396 ,5,1,23,0,53,23,2.30,0.00,
61,Spanish Journal of Agricultural Research,journal,0.391 ,28,88,296,3863,363,295,1.15,43.90,
62,Migraciones,journal,0.390 ,6,14,53,558,44,52,0.32,39.86,
63,World Rabbit Science,journal,0.386 ,19,44,89,1623,79,89,0.81,36.89,
64,Cuadernos de Psicologia del Deporte,journal,0.379 ,12,62,192,2811,181,182,0.75,45.34,
65,Drugs of Today,journal,0.379 ,46,55,177,2150,190,171,1.06,39.09,
66,Revista Eureka,journal,0.379 ,7,41,138,1456,83,135,0.59,35.51,
67,Anales de Psicologia,journal,0.378 ,22,70,297,3239,298,297,0.95,46.27,
68,Boletin de la Sociedad Espanola de Ceramica y Vidrio,journal,0.377 ,19,43,97,966,152,92,1.80,22.47,
69,Graellsia,journal,0.367 ,7,17,48,461,27,39,0.50,27.12,
70,Bordon,journal,0.363 ,11,20,110,815,51,107,0.46,40.75,
71,Reumatologia Clinica,journal,0.363 ,20,189,389,2909,266,227,1.05,15.39,
72,Grasas y Aceites,journal,0.361 ,41,50,156,1669,160,152,0.95,33.38,
73,Revista Iberoamericana de Psicologia y Salud,journal,0.356 ,4,10,31,641,45,31,1.62,64.10,
